#form factor calculations
#
# 200 bins for density calculation at every time step
# form factor averged over time steps 
#
# 21.9.2021 by R.Nencini
# POPC 10 % cholesterol
# simulations from  http://doi.org/10.5281/zenodo.159759
#
# q ;  FF(q) ; error of mean over time steps
  0.5370  30.86170009 -4.21918318
  0.5380  30.06208650 -4.23969165
  0.5390  29.26437170 -4.26020696
  0.5400  28.46889109 -4.28070073
  0.5410  27.67597550 -4.30114258
  0.5420  26.88595108 -4.32150006
  0.5430  26.09913920 -4.34173847
  0.5440  25.31585635 -4.36182080
  0.5450  24.53641405 -4.38170753
  0.5460  23.76111877 -4.40135650
  0.5470  22.99027184 -4.42072266
  0.5480  22.22416941 -4.43975792
  0.5490  21.46310234 -4.45841081
  0.5500  20.70735620 -4.47662618
  0.5510  19.95721118 -4.49434485
  0.5520  19.21294210 -4.51150312
  0.5530  18.47481839 -4.52803222
  0.5540  17.74310408 -4.54385771
  0.5550  17.01805784 -4.55889860
  0.5560  16.29993301 -4.57306647
  0.5570  15.58897769 -4.58626421
  0.5580  14.88543488 -4.59838466
  0.5590  14.18954259 -4.60930876
  0.5600  13.50153411 -4.61890343
  0.5610  12.82163830 -4.62701881
  0.5620  12.15007997 -4.63348489
  0.5630  11.48708046 -4.63810723
  0.5640  10.83285829 -4.64066160
  0.5650  10.18763018 -4.64088714
  0.5660  9.55161232 -4.63847754
  0.5670  8.92502216 -4.63306967
  0.5680  8.30808091 -4.62422881
  0.5690  7.70101701 -4.61142905
  0.5700  7.10407121 -4.59402743
  0.5710  6.51750399 -4.57122915
  0.5720  5.94160679 -4.54204079
  0.5730  5.37671949 -4.50520695
  0.5740  4.82325851 -4.45912507
  0.5750  4.28176391 -4.40173336
  0.5760  3.75298198 -4.33037369
  0.5770  3.23801844 -4.24165950
  0.5780  2.73864198 -4.13148580
  0.5790  2.25793524 -3.99571436
  0.5800  1.80182736 -3.83362364
  0.5810  1.38307707 -3.66291237
  0.5820  1.03219339 -3.58641342
  0.5830  0.82022153 -4.08830323
  0.5840  0.83905652 -7.23210288
  0.5850  1.06244657 -31.29202882
  0.5860  1.38465416 30.36541676
  0.5870  1.74362068 14.21427533
  0.5880  2.11401108 10.71599165
  0.5890  2.48512415 9.22279183
  0.5900  2.85191208 8.40706739
  0.5910  3.21173669 7.89859146
  0.5920  3.56310047 7.55438501
  0.5930  3.90509701 7.30788737
  0.5940  4.23715023 7.12404226
  0.5950  4.55888078 6.98268189
  0.5960  4.87003306 6.87140569
  0.5970  5.17043320 6.78218181
  0.5980  5.45996362 6.70958592
  0.5990  5.73854716 6.64982670
  0.6000  6.00613671 6.60017702
  0.6010  6.26270830 6.55862687
  0.6020  6.50825638 6.52366345
  0.6030  6.74279041 6.49412732
  0.6040  6.96633247 6.46911556
  0.6050  7.17891550 6.44791505
  0.6060  7.38058193 6.42995542
  0.6070  7.57138270 6.41477527
  0.6080  7.75137639 6.40199751
  0.6090  7.92062864 6.39131106
  0.6100  8.07921162 6.38245707
  0.6110  8.22720360 6.37521843
  0.6120  8.36468855 6.36941172
  0.6130  8.49175592 6.36488094
  0.6140  8.60850027 6.36149256
  0.6150  8.71502110 6.35913169
  0.6160  8.81142262 6.35769896
  0.6170  8.89781354 6.35710805
  0.6180  8.97430691 6.35728375
  0.6190  9.04101992 6.35816035
  0.6200  9.09807378 6.35968042
  0.6210  9.14559355 6.36179372
  0.6220  9.18370800 6.36445648
  0.6230  9.21254946 6.36763070
  0.6240  9.23225370 6.37128370
  0.6250  9.24295979 6.37538770
  0.6260  9.24480998 6.37991963
  0.6270  9.23794956 6.38486086
  0.6280  9.22252676 6.39019712
  0.6290  9.19869262 6.39591847
  0.6300  9.16660086 6.40201929
  0.6310  9.12640778 6.40849833
